Site,Species,Hunted,site.sp
UDZ,Tragelaphus scriptus,Yes,Tragelaphus scriptus-UDZ
UDZ,Xenoperdix udzungwensis,Unknown,Xenoperdix udzungwensis-UDZ
VB,Conepatus semistriatus,No,Conepatus semistriatus-VB
VB,Crax rubra,Yes,Crax rubra-VB
VB,Cuniculus paca,Yes,Cuniculus paca-VB
VB,Dasyprocta punctata,Yes,Dasyprocta punctata-VB
VB,Dasypus novemcinctus,Yes,Dasypus novemcinctus-VB
VB,Didelphis marsupialis,No,Didelphis marsupialis-VB
VB,Eira barbara,No,Eira barbara-VB
VB,Leopardus pardalis,No,Leopardus pardalis-VB
VB,Leopardus wiedii,No,Leopardus wiedii-VB
VB,Mazama temama,Yes,Mazama temama-VB
VB,Metachirus nudicaudatus,No,Metachirus nudicaudatus-VB
VB,Nasua narica,No,Nasua narica-VB
VB,Nothocercus bonapartei,No,Nothocercus bonapartei-VB
VB,Odocoileus virginianus,Yes,Odocoileus virginianus-VB
VB,Odontophorus leucolaemus,No,Odontophorus leucolaemus-VB
VB,Panthera onca,No,Panthera onca-VB
VB,Pecari tajacu,Yes,Pecari tajacu-VB
VB,Penelope purpurascens,Yes,Penelope purpurascens-VB
VB,Philander opossum,No,Philander opossum-VB
VB,Procyon lotor,No,Procyon lotor-VB
VB,Proechimys semispinosus,No,Proechimys semispinosus-VB
VB,Puma concolor,No,Puma concolor-VB
VB,Puma yagouaroundi,No,Puma yagouaroundi-VB
VB,Sciurus granatensis,No,Sciurus granatensis-VB
VB,Tamandua mexicana,No,Tamandua mexicana-VB
VB,Tapirus bairdii,Unknown,Tapirus bairdii-VB
VB,Tapirus terrestris,Unknown,Tapirus terrestris-VB
VB,Tinamus major,Yes,Tinamus major-VB
YAS,Atelocynus microtis,Unknown,Atelocynus microtis-YAS
YAS,Baryphthengus martii,Unknown,Baryphthengus martii-YAS
YAS,Crypturellus soui,Unknown,Crypturellus soui-YAS
YAS,Crypturellus undulatus,Unknown,Crypturellus undulatus-YAS
YAS,Crypturellus variegatus,Unknown,Crypturellus variegatus-YAS
YAS,Cuniculus paca,Yes,Cuniculus paca-YAS
YAS,Dasyprocta fuliginosa,Yes,Dasyprocta fuliginosa-YAS
YAS,Dasyprocta punctata,Unknown,Dasyprocta punctata-YAS
